dx,gb,dz,gb_energy
1.7,1,2.5,1.071716801
1.7,1,2.6,1.095656505
1.7,1,2.7,1.12312269
1.7,1,2.8,1.138674457
1.7,1,2.9,1.109327767
1.7,1,3,1.083172108
1.7,1,3.1,1.060511659
1.7,1,3.2,1.041589764
1.7,1,3.3,1.02655908
1.7,1,3.4,1.015565158
1.7,1,3.5,1.008680773
1.7,1,3.6,1.005967614
1.8,1,0,0.999770332
1.8,1,0.1,1.001802642
1.8,1,0.2,1.007880528
1.8,1,0.3,1.017953386
1.8,1,0.4,1.031944462
1.8,1,0.5,1.049727535
1.8,1,0.6,1.071147674
1.8,1,0.7,1.095988258
1.8,1,0.8,1.12398235
1.8,1,0.9,1.129472346
1.8,1,1,1.101275848
1.8,1,1.1,1.076058878
1.8,1,1.2,1.053913259
1.8,1,1.3,1.034946732
1.8,1,1.4,1.019239464
1.8,1,1.5,1.007949892
1.8,1,1.6,0.997920813
1.8,1,1.7,0.992423141
1.8,1,1.8,0.990414425
1.8,1,1.9,0.991907743
1.8,1,2,0.99689485
1.8,1,2.1,1.005345612
1.8,1,2.2,1.017215113
1.8,1,2.3,1.032431432
1.8,1,2.4,1.050929751
1.8,1,2.5,1.072604888
1.8,1,2.6,1.097386058
1.8,1,2.7,1.125141639
1.8,1,2.8,1.128346032
1.8,1,2.9,1.09992069
1.8,1,3,1.074593989
1.8,1,3.1,1.052654472
1.8,1,3.2,1.034327004
1.8,1,3.3,1.019769076
1.8,1,3.4,1.009114299
1.8,1,3.5,1.002442839
1.8,1,3.6,0.999815248
1.9,1,0,0.995291516
1.9,1,0.1,0.997257874
1.9,1,0.2,1.003143302
1.9,1,0.3,1.012894357
1.9,1,0.4,1.026438546
1.9,1,0.5,1.04364965
1.9,1,0.6,1.064391784
1.9,1,0.7,1.08845856
1.9,1,0.8,1.115622557
1.9,1,0.9,1.132836788
1.9,1,1,1.104248838
1.9,1,1.1,1.078558259
1.9,1,1.2,1.055908898
1.9,1,1.3,1.036462792
1.9,1,1.4,1.020315744
1.9,1,1.5,1.007586299
1.9,1,1.6,0.998347231
1.9,1,1.7,0.992672169
1.9,1,1.8,0.990596932
1.9,1,1.9,0.992140283
1.9,1,2,0.997288576
1.9,1,2.1,1.006003433
1.9,1,2.2,1.018233116
1.9,1,2.3,1.033878412
1.9,1,2.4,1.052852046
1.9,1,2.5,1.075038317
1.9,1,2.6,1.100293664
1.9,1,2.7,1.128458607
1.9,1,2.8,1.119861441
1.9,1,2.9,1.092267615
1.9,1,3,1.067730072
1.9,1,3.1,1.046485617
